item,condition,js_divergence_bits,spearman_rho_within_item,human_top_prob,llm_top_prob,human_top_object,llm_top_object
14,non-restrictive,0.44342727781999863,0.0,0.5,0.6228622862286228,cigarettes,cigarettes
14,restrictive,0.1381676431109513,0.3333333333333334,0.75,0.9994000000000001,cigarettes,cigarettes
15,non-restrictive,0.8485778646460093,-0.632455532033676,0.6666666666666666,0.9089,ball,dog
15,restrictive,0.8754228040782265,-0.4472135954999579,0.5,0.9474,ball,dog
16,non-restrictive,0.9588668938383791,-0.2581988897471611,1.0,0.6645,folder,hat
16,restrictive,0.849549209596614,0.2581988897471611,1.0,0.9457,wallet,hat
17,non-restrictive,0.8847432960561994,-0.9486832980505139,0.6666666666666666,0.7513751375137513,ribbon,backpack
17,restrictive,0.29172148089918476,0.4472135954999579,0.5,0.9709000000000001,dress,dress
18,non-restrictive,0.7242824103924163,-0.2581988897471611,1.0,0.5162483751624838,bucket,stone
18,restrictive,0.24934453772036172,0.4472135954999579,0.5,0.8771,wood,wood
19,non-restrictive,0.17628298155543057,0.7378647873726218,0.6666666666666666,0.4237,football,stick
19,restrictive,0.9742578536907739,-0.2581988897471611,1.0,0.9176,leaf,football
20,restrictive,0.3068856219309999,0.4472135954999579,0.5,0.9725972597259727,bread,bread
21,non-restrictive,0.06597770030826149,0.632455532033676,0.5,0.4782,kitten,cup
21,restrictive,0.6376840471148962,0.2581988897471611,1.0,0.708,cup,kitten
22,non-restrictive,0.6016744148799615,0.2581988897471611,1.0,0.5243475652434756,magazine,flower
22,restrictive,0.44631742051667855,0.21081851067789195,0.75,0.8509,vase,flower
23,non-restrictive,0.6221230547895453,-0.9486832980505139,0.6666666666666666,0.5331,hook,poster
24,non-restrictive,0.5976363973758053,-0.8944271909999159,0.5,0.6608,scarf,card
24,restrictive,0.05303199418514383,0.7745966692414834,1.0,0.8979,scarf,scarf
25,non-restrictive,0.8683247181756091,-0.632455532033676,0.5,0.9432,rabbit,glass
25,restrictive,0.10762758409219328,0.8944271909999159,0.5,0.6146,rabbit,rabbit
26,restrictive,0.8784692651739496,-0.8944271909999159,0.5,0.892,keyboard,canvas
27,non-restrictive,0.6753974841837018,-0.2581988897471611,1.0,0.643064306430643,candle,package
27,restrictive,0.9730160486425169,-0.8944271909999159,0.5,0.9813018698130188,package,candle
28,non-restrictive,0.4007143505376983,0.2581988897471611,1.0,0.4398,picture,lamp
28,restrictive,0.008299505703928716,0.7745966692414834,1.0,0.9835,lamp,lamp
29,non-restrictive,0.6799648908955773,-0.2581988897471611,1.0,0.5161,sock,milk
29,restrictive,0.00040011546179106783,0.7745966692414834,1.0,0.9992000000000001,milk,milk
30,non-restrictive,0.9042104185305193,0.2581988897471611,1.0,0.9572042795720428,tissue,newspaper
30,restrictive,0.19017607575239928,0.5000000000000001,0.6666666666666666,0.9986,newspaper,newspaper
31,restrictive,1.0,-0.7745966692414834,1.0,0.9986,headphones,dice
32,restrictive,0.9202064299321162,-0.632455532033676,0.5,0.9702,seed,bottle
33,non-restrictive,0.4576639634290197,-0.316227766016838,0.5,0.4714,kettle,mug
33,restrictive,0.9852614819401166,-0.2581988897471611,1.0,0.9874,mug,beer
34,non-restrictive,0.08214579106070519,0.7745966692414834,1.0,0.8451000000000001,box,box
34,restrictive,0.7381051404100311,-0.4472135954999579,0.5,0.8097000000000001,envelope,box
35,non-restrictive,0.2653989864708876,0.0,0.5,0.5341,pillow,pillow
36,non-restrictive,0.22254781418031855,0.8944271909999159,0.5,0.311031103110311,pot,pot
37,non-restrictive,0.04226481214559383,0.7745966692414834,1.0,0.918,boxes,boxes
37,restrictive,0.9878233902754737,-0.7745966692414834,1.0,0.6069,lego,boxes
38,non-restrictive,0.37091605914086345,0.7745966692414834,1.0,0.4281,marker,marker
38,restrictive,0.9496939361897831,-0.8944271909999159,0.5,0.8902,marker,banana
39,non-restrictive,0.31310340342258797,0.0,0.5,0.4633,apron,cloth
39,restrictive,0.07224795834289105,0.7745966692414834,1.0,0.8628,cloth,cloth
40,non-restrictive,0.06358634536493935,0.7745966692414834,1.0,0.8785000000000001,mat,mat
40,restrictive,0.7351662563566285,-0.2581988897471611,1.0,0.4426,mat,shoelace
41,non-restrictive,0.3380459379918541,0.4472135954999579,0.5,0.6106610661066106,iron,iron
42,non-restrictive,0.06391536414858043,0.7745966692414834,1.0,0.8779,stone,stone
42,restrictive,0.7892498158348922,-0.2581988897471611,1.0,0.4535,shell,orange
43,non-restrictive,0.2676489583320381,0.8944271909999159,0.5,0.9661033896610338,shirt,shirt
43,restrictive,0.29212464447230796,0.4472135954999579,0.5,0.9799000000000001,shirt,shirt
44,non-restrictive,0.8053222304412192,-0.2581988897471611,1.0,0.723,bolt,pan
44,restrictive,0.6059670828919966,-0.9486832980505139,0.6666666666666666,0.4936,pan,safe
45,non-restrictive,0.032920510108073134,0.7745966692414834,1.0,0.9357000000000001,dough,dough
45,restrictive,5.000180345897481e-05,0.8164965809277261,1.0,0.9999,dough,dough
46,non-restrictive,0.6750925403373937,0.10540925533894598,0.6666666666666666,0.8254174582541746,carrot,pot
46,restrictive,0.2294148959617761,0.7745966692414834,1.0,0.61,carrot,carrot
47,non-restrictive,0.36726506650448293,0.21081851067789195,0.6666666666666666,0.44534453445344535,bow,violin
47,restrictive,0.2500695638750616,0.4472135954999579,0.5,0.7555000000000001,violin,violin
48,non-restrictive,0.5249950937112564,0.0,0.5,0.5915,roller,carpet
48,restrictive,0.911510653236973,-0.21081851067789195,0.6666666666666666,0.9692000000000001,roller,carpet
49,non-restrictive,0.3509648134236746,0.2581988897471611,0.3333333333333333,0.901,flag,flag
50,non-restrictive,0.5476928363210519,-0.10540925533894598,0.6666666666666666,0.5686000000000001,stamp,scissors
50,restrictive,0.6686037043603534,0.2581988897471611,1.0,0.7792,stamp,envelope
